"corpus","preloaded/sibol_corpus"
"subcorpus","-"
Headword,Relation,Collocation,Frequency,Relative frequency,Rating
"next-j","nouns modified by ""%w""","election-n",9118,9.03460,9.219
"New-n","nouns modified by ""%w""","Delhi-n",9060,8.97713,9.724
"European-j","nouns modified by ""%w""","championship-n",9038,8.95533,10.259
"national-j","nouns modified by ""%w""","team-n",9029,8.94641,9.233
"new-j","nouns modified by ""%w""","series-n",9011,8.92858,7.988
"San-n","nouns modified by ""%w""","Francisco-n",9010,8.92759,12.712
"new-j","nouns modified by ""%w""","book-n",8995,8.91272,7.996
"death-n","nouns modified by ""%w""","toll-n",8986,8.90381,12.053
"United-n","nouns modified by ""%w""","Kingdom-n",8957,8.87507,10.625
"early-j","nouns modified by ""%w""","year-n",8953,8.87111,8.047
"first-j","nouns modified by ""%w""","dose-n",8887,8.80571,8.333
"Crown-n","nouns modified by ""%w""","Court-n",8881,8.79977,11.255
"first-j","nouns modified by ""%w""","goal-n",8880,8.79878,8.230
"foreign-j","nouns modified by ""%w""","minister-n",8875,8.79382,9.600
"Margaret-n","nouns modified by ""%w""","Thatcher-n",8866,8.78490,12.690
"human-j","nouns modified by ""%w""","being-n",8857,8.77599,11.123
"much-j","nouns modified by ""%w""","time-n",8834,8.75320,8.691
"Wayne-n","nouns modified by ""%w""","Rooney-n",8802,8.72149,13.115
"old-j","nouns modified by ""%w""","man-n",8776,8.69573,9.116
"early-j","nouns modified by ""%w""","day-n",8773,8.69275,9.043
"complete-j","nouns modified by ""%w""","version-n",8731,8.65114,11.182
"late-j","nouns modified by ""%w""","news-n",8720,8.64024,9.614
"first-j","nouns modified by ""%w""","thing-n",8686,8.60655,7.974
"whole-j","nouns modified by ""%w""","thing-n",8675,8.59565,9.512
"new-j","nouns modified by ""%w""","system-n",8671,8.59169,7.747
"Donald-n","nouns modified by ""%w""","Trump-n",8622,8.54314,12.896
"Friday-n","nouns modified by ""%w""","night-n",8605,8.52629,9.739
"secondary-j","nouns modified by ""%w""","school-n",8548,8.46981,10.442
"high-j","nouns modified by ""%w""","education-n",8533,8.45495,9.358
"Great-n","nouns modified by ""%w""","Britain-n",8512,8.43414,11.782
"economic-j","nouns modified by ""%w""","recovery-n",8482,8.40442,10.706
"local-j","nouns modified by ""%w""","government-n",8473,8.39550,9.065
"England-n","nouns modified by ""%w""","team-n",8462,8.38460,9.321
"bad-j","nouns modified by ""%w""","thing-n",8456,8.37865,9.343
"Tory-n","nouns modified by ""%w""","MP-n",8410,8.33307,11.101
"box-n","nouns modified by ""%w""","office-n",8408,8.33109,11.189
"family-n","nouns modified by ""%w""","home-n",8395,8.31821,9.812
"private-j","nouns modified by ""%w""","company-n",8386,8.30929,8.948
"long-j","nouns modified by ""%w""","period-n",8360,8.28353,9.709
"housing-n","nouns modified by ""%w""","market-n",8359,8.28254,9.885
"other-j","nouns modified by ""%w""","state-n",8343,8.26669,8.201
"other-j","nouns modified by ""%w""","day-n",8323,8.24687,7.922
"Europa-n","nouns modified by ""%w""","League-n",8317,8.24093,10.823
"early-j","nouns modified by ""%w""","stage-n",8306,8.23003,9.834
"new-j","nouns modified by ""%w""","year-n",8261,8.18544,7.131
